GEO,CRTFCTN_DT,ELGBLTY_SW,FAC_NAME,PRVDR_NUM,SKLTN_REC_SW,STATE_RGN_CD,TRMNTN_EXPRTN_DT,ZIP_CD,CBSA_CD,LONGITUDE,LATITUDE,GRADE_FAC_NAME,GRADEN,GRADEN.01,GEOGRAPHY.1,TOTAL_CIVILIAN_NONINSTITUTIONALIZED_POPULATION,AVG-MEDIAN_AGE_IN_YEARS,TOTAL_HOUSEHOLDS_ESTIMATE,PROP_FAMILY_HOUSEHOLDS,PROP_NONFAMILY_HOUSEHOLDS,AVERAGE_HOUSEHOLD_SIZE,AVERAGE_FAMILY_SIZE,GPS_LIVING_WITH_GCS_UNDER_18_YEARS,PROP__GPS_CARING_FOR_GC_OVER_18,NUMBER_OF_VETERANS,VETERANS_AS_PROP_OF_POPULATION,UNEMPLOYED_VETERANS_PROP_OF_LABOUR_FORCE,HISPANI_OR_LATINO,HISPANIC/LATINO_PROP,WHITE,WHITE_PROP,BLACK_ESTIMATE,BLACK_PROP,NATIVE_AMERICAN/ALASKAN,NATIVE_AMERICAN/ALASKAN_PROP,ASIAN,ASIAN_PROP,NATIVE_HAWAIIAN/PACIFIC_ISLANDER,NATIVE_HAWAIIAN/PACIFIC_ISLANDER_PROP,"OTHER_RACE_ONLY,_NOT_HISPANIC/LATINO","OTHER_RACE_ONLY,_NOT_HISPANIC/LATINO_PROP","TWO_OR_MORE_RACES_ALONE,_NOT_HISPANIC_OR_LATINO_ESTIMATE","TWO_OR_MORE_RACES_ALONE,_NOT_HISPANIC_OR_LATINO_PROP",PROP_NATIVE_BORN,PROP_FOREIGN_BORN,PROP_OF_FOREIGN_BORN_WHO_ARE_NATURALIZED_U.S._CITIZEN,POP_5_YEARS_+,POP_5_YEARS_+_FOREIGN_LANGUAGE_AT_HOME,POP_5_YEARS_+_W/_POOR_ENGLISH,MEDIAN_HOUSEHOLD_INCOME_(DOLLARS),MEAN_HOUSEHOLD_INCOME_(DOLLARS),MEDIAN_FAMILY_INCOME_(DOLLARS),MEAN_FAMILY_INCOME_(DOLLARS),PER_CAPITA_INCOME_(DOLLARS),ALL_FAMILIES%,MARRIED_COUPLE_FAMILIES%,FEMALE_HOUSEHOLDER_NO_HUSBAND%,ALL_PEOPLE%,UNDER_18%,PERCENT_(LABOR_FORCE_PARTICIPATION_RATE),LABOUR_FORCE_%,EMPLOYED_16+%,EMPLOYED_%_16+,UNEMPLOYMENT%,MILITARY%,NOT_IN_LABOURFORCE%,"POPULATION_25_YEARS_
AND_OVER%",PERCENT_LESS_THAN_9TH_GRADE%,"PERCENT_9TH_TO_12TH_GRADE,_NO_DIPLOMA",PERCENT_HIGH_SCHOOL_GRADUATE_(INCLUDES_EQUIVALENCY),"PERCENT_SOME_COLLEGE,_NO_DEGREE",PERCENT_ASSOCIATE'S_DEGREE,PERCENT_BACHELOR'S_DEGREE,PERCENT_GRADUATE_OR_PROFESSIONAL_DEGREE,PERCENT_HIGH_SCHOOL_GRADUATE_OR_HIGHER,POPULATION_25_YEARS_AND_OVER_WITH_EARNINGS,LESS_THAN_HIGH_SCHOOL_GRADUATE_EARNINGS_(DOLLARS),HIGH_SCHOOL_GRADUATE__EARNINGS_(DOLLARS),SOME_COLLEGE_OR_ASSOCIATE'S_DEGREE_EARNINGS_(DOLLARS),BACHELOR'S_DEGREE_EARNINGS_(DOLLARS),GRADUATE_OR_PROFESSIONAL_DEGREE_EARNINGS_(DOLLARS),MEDIAN_VALUE_(DOLLARS)
TORRANCE,19930122,N,TORRANCE MEMORIAL MEDICAL CENTER,05D0642594,Y,M1,20190227,90505,31084,-118.3434945,33.8119157,TORRANCE MEMORIAL MEDICAL CENTER,100,1,TORRANCE CITY,145886,42.9,54327,70.9,29.1,2.67,3.22,N,N,5967,5.1,4.5,27310,18.6,50503,34.4,3762,2.6,282,0.2,56533,38.5,648,0.4,173,0.1,7534,5.1,67.1,32.9,54.9,137195,42.7,21,62891,68120,65125,72144,19157,11.6,12,0,14.1,18.9,66.9,66.3,61.5,4.9,7.3,0.6,33.1,2049,34.5,9.4,20.9,21,6,6.5,1.7,56.1,30467,27028,29359,40583,42639,41000,370300
TORRANCE,19940326,N,DOCTORS HOME TECHNOLOGIES,05D0681450,Y,M1,20100831,90505,31084,-118.3434945,33.8119157,TORRANCE MEMORIAL MEDICAL CENTER,100,1,TORRANCE CITY,145886,42.9,54327,70.9,29.1,2.67,3.22,N,N,5967,5.1,4.5,27310,18.6,50503,34.4,3762,2.6,282,0.2,56533,38.5,648,0.4,173,0.1,7534,5.1,67.1,32.9,54.9,137195,42.7,21,72917,78892,73750,79898,28828,0,0,0,0,0,68.8,68.8,68.8,0,0,0,31.2,134,13.4,0,25.4,32.1,3.7,25.4,0,86.6,38929,-,39625,37813,-,-,347000
TORRANCE,19950328,N,TORRANCE MEM MED CTR/PRDNT BUYER CK UP,05D0899356,Y,LAB,19951122,90505,31084,-118.3434945,33.8119157,TORRANCE MEMORIAL MEDICAL CENTER,100,1,TORRANCE CITY,145886,42.9,54327,70.9,29.1,2.67,3.22,N,N,5967,5.1,4.5,27310,18.6,50503,34.4,3762,2.6,282,0.2,56533,38.5,648,0.4,173,0.1,7534,5.1,67.1,32.9,54.9,137195,42.7,21,50265,63371,55915,68800,22308,13.2,2.4,49.1,16.2,20.6,64.8,64.8,61.3,3.5,5.4,0,35.2,3510,14.1,11.9,19.7,25.1,11.3,13,4.9,74,32214,20082,30585,35044,50104,71250,339000
TORRANCE,19971204,N,EMERGENCY SPECIALIST PHYSICIANS MED,05D0936999,Y,LAB,20111203,90503,31084,-118.3571537,33.8385387,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER TORRANCE,100,1,TORRANCE CITY,145886,42.9,54327,70.9,29.1,2.67,3.22,N,N,5967,5.1,4.5,27310,18.6,50503,34.4,3762,2.6,282,0.2,56533,38.5,648,0.4,173,0.1,7534,5.1,67.1,32.9,54.9,137195,42.7,21,43594,43186,52917,47359,17696,15.2,15.2,-,19.2,17,71.7,71.7,57.9,13.8,19.3,0,28.3,159,34,8.8,14.5,23.9,8.2,0,10.7,57.2,31875,40769,-,-,-,-,305900
TORRANCE,19990202,N,PROVIDENCE MEDICAL INSTITUTE LAB-SO CALIFORNIA DBA,05D0956681,Y,M1,20171015,90503,31084,-118.3571537,33.8385387,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER TORRANCE,100,1,TORRANCE CITY,145886,42.9,54327,70.9,29.1,2.67,3.22,N,N,5967,5.1,4.5,27310,18.6,50503,34.4,3762,2.6,282,0.2,56533,38.5,648,0.4,173,0.1,7534,5.1,67.1,32.9,54.9,137195,42.7,21,41250,98122,47917,152214,47057,0,0,0,4.9,0,38.4,38.4,28.3,10.1,26.4,0,61.6,135,2.2,23.7,38.5,20,9.6,5.9,0,74.1,30781,-,-,34375,-,-,417000
NAPA,19930503,N,QUEEN OF THE VALLEY MEDICAL CENTER,05D0599855,Y,M2,20150501,94558,34900,-122.2966229,38.3251588,QUEEN OF THE VALLEY MEDICAL CENTER,100,1,NAPA COUNTY,139286,41.4,47848,68.8,31.2,2.87,3.48,3833,14.6,7410,6.7,5.1,48325,34.3,73702,52.3,3045,2.2,380,0.3,11209,8,365,0.3,145,0.1,3802,2.7,78.8,21.2,51.2,133938,35.7,14.1,61250,79268,71944,90518,26824,0,0,0,4,3.7,62.9,62.9,59.2,3.7,5.9,0,37.1,618,12.8,6,34.8,27.5,9.9,6.8,2.3,81.2,31875,20357,40250,29250,-,-,283300
NAPA,19930113,N,QUEEN OF THE VALLEY MEDICAL CENTER CLINICAL LAB,05D0599859,Y,LAB,20190102,94558,34900,-122.2966229,38.3251588,QUEEN OF THE VALLEY MEDICAL CENTER,100,1,NAPA COUNTY,139286,41.4,47848,68.8,31.2,2.87,3.48,3833,14.6,7410,6.7,5.1,48325,34.3,73702,52.3,3045,2.2,380,0.3,11209,8,365,0.3,145,0.1,3802,2.7,78.8,21.2,51.2,133938,35.7,14.1,46800,52639,70781,70435,25110,0,0,-,9.1,0,50.6,50.6,44.9,5.7,11.2,0,49.4,226,18.6,0.9,36.3,16.8,17.3,10.2,0,80.5,32917,18750,-,40069,-,-,368600
NAPA,19930108,N,QUEEN OF THE VALLEY HOSP NURSING UNITS,05D0685237,Y,LAB,19960831,94558,34900,-122.2966229,38.3251588,QUEEN OF THE VALLEY MEDICAL CENTER,100,1,NAPA COUNTY,139286,41.4,47848,68.8,31.2,2.87,3.48,3833,14.6,7410,6.7,5.1,48325,34.3,73702,52.3,3045,2.2,380,0.3,11209,8,365,0.3,145,0.1,3802,2.7,78.8,21.2,51.2,133938,35.7,14.1,-,39937,43750,50723,12333,39.2,36.8,47.1,56.1,83.6,34.3,34.3,33.5,0.8,2.4,0,65.7,218,2.8,25.7,43.1,15.1,5,8.3,0,71.6,33333,-,31375,33333,-,-,457300
NAPA,19941005,Y,"NAPA PATHOLOGY MEDICAL ASSOCIATES, INC",05D0699829,N,M2,20070101,94558,34900,-122.2966229,38.3251588,QUEEN OF THE VALLEY MEDICAL CENTER,100,1,NAPA COUNTY,139286,41.4,47848,68.8,31.2,2.87,3.48,3833,14.6,7410,6.7,5.1,48325,34.3,73702,52.3,3045,2.2,380,0.3,11209,8,365,0.3,145,0.1,3802,2.7,78.8,21.2,51.2,133938,35.7,14.1,55682,78904,60087,82930,24000,11.6,7.4,33.7,14.9,24.2,65,65,62,3,4.6,0,35,3360,34.3,8,24.6,16.5,6.3,7.2,3,57.6,27731,19115,36181,26343,50139,-,353400
NAPA,20040831,N,NAPA VALLEY EMERGENCT MEDICAL GROUP,05D1030167,Y,M2,20080830,94558,34900,-122.2966229,38.3251588,QUEEN OF THE VALLEY MEDICAL CENTER,100,1,NAPA COUNTY,139286,41.4,47848,68.8,31.2,2.87,3.48,3833,14.6,7410,6.7,5.1,48325,34.3,73702,52.3,3045,2.2,380,0.3,11209,8,365,0.3,145,0.1,3802,2.7,78.8,21.2,51.2,133938,35.7,14.1,88456,120800,103598,137312,42898,6.9,3.7,18.9,9.8,12.4,64.5,64.4,60,4.5,6.9,0.1,35.5,767132,5.9,5.1,17.9,22.2,8.3,25.9,14.9,89.1,50763,24128,32631,44167,71129,93748,372100
NAPA,20110330,N,VINEYARD PATHOLOGY ASSOCIATES,05D2022306,Y,M2,20111115,94558,34900,-122.2966229,38.3251588,QUEEN OF THE VALLEY MEDICAL CENTER,100,1,NAPA COUNTY,139286,41.4,47848,68.8,31.2,2.87,3.48,3833,14.6,7410,6.7,5.1,48325,34.3,73702,52.3,3045,2.2,380,0.3,11209,8,365,0.3,145,0.1,3802,2.7,78.8,21.2,51.2,133938,35.7,14.1,205078,177861,213125,196285,61503,0,0,0,0,0,81.1,81.1,77,4.1,5.1,0,18.9,618,0,0,2.1,16,2.1,61.3,18.4,100,81250,-,-,93654,-,100417,382500
NAPA,19930503,N,QUEEN OF THE VALLEY MEDICAL CENTER,05D0599855,Y,M2,20150501,94558,34900,-122.2966229,38.3251588,QUEEN OF THE VALLEY MEDICAL CENTER,100,1,NAPA CITY,79349,38.5,28790,65.2,34.8,2.74,3.44,N,N,3615,5.9,2.7,31070,38.9,43848,55,281,0.4,178,0.2,2116,2.7,89,0.1,145,0.2,2055,2.6,80.4,19.6,47.4,75289,35.4,13.5,207008,263301,220652,279950,91961,1.3,1,7.5,2.5,1.8,57.6,57.6,54.9,2.6,4.6,0,42.4,10910,0.7,0.5,5.6,15.7,5.4,47.2,24.9,98.8,105345,-,31667,54375,125045,154905,302300
NAPA,19930113,N,QUEEN OF THE VALLEY MEDICAL CENTER CLINICAL LAB,05D0599859,Y,LAB,20190102,94558,34900,-122.2966229,38.3251588,QUEEN OF THE VALLEY MEDICAL CENTER,100,1,NAPA CITY,79349,38.5,28790,65.2,34.8,2.74,3.44,N,N,3615,5.9,2.7,31070,38.9,43848,55,281,0.4,178,0.2,2116,2.7,89,0.1,145,0.2,2055,2.6,80.4,19.6,47.4,75289,35.4,13.5,165625,169121,166250,175270,60417,0,0,0,1.8,0,62.5,62.5,62.5,0,0,0,37.5,454,1.5,1.8,15.2,30.4,2,35.7,13.4,96.7,76136,-,-,37583,106111,-,403300
NAPA,19930108,N,QUEEN OF THE VALLEY HOSP NURSING UNITS,05D0685237,Y,LAB,19960831,94558,34900,-122.2966229,38.3251588,QUEEN OF THE VALLEY MEDICAL CENTER,100,1,NAPA CITY,79349,38.5,28790,65.2,34.8,2.74,3.44,N,N,3615,5.9,2.7,31070,38.9,43848,55,281,0.4,178,0.2,2116,2.7,89,0.1,145,0.2,2055,2.6,80.4,19.6,47.4,75289,35.4,13.5,69925,85001,74873,89973,27112,12.2,6.2,26.2,14.6,22.4,63.5,63.4,57.3,6.1,9.6,0,36.5,70089,6.2,7.4,27.1,29.5,8.8,15,6,86.4,39305,25158,31568,41298,55146,66979,521600
NAPA,19941005,Y,"NAPA PATHOLOGY MEDICAL ASSOCIATES, INC",05D0699829,N,M2,20070101,94558,34900,-122.2966229,38.3251588,QUEEN OF THE VALLEY MEDICAL CENTER,100,1,NAPA CITY,79349,38.5,28790,65.2,34.8,2.74,3.44,N,N,3615,5.9,2.7,31070,38.9,43848,55,281,0.4,178,0.2,2116,2.7,89,0.1,145,0.2,2055,2.6,80.4,19.6,47.4,75289,35.4,13.5,46435,62854,47836,65397,18892,19,10.3,35.6,21.8,31.9,67.8,67.8,58.7,9.2,13.5,0,32.2,13764,16.3,12.7,27.9,22.6,8.1,9.7,2.7,70.9,28407,24382,28135,33984,40854,37500,304400
NAPA,20040831,N,NAPA VALLEY EMERGENCT MEDICAL GROUP,05D1030167,Y,M2,20080830,94558,34900,-122.2966229,38.3251588,QUEEN OF THE VALLEY MEDICAL CENTER,100,1,NAPA CITY,79349,38.5,28790,65.2,34.8,2.74,3.44,N,N,3615,5.9,2.7,31070,38.9,43848,55,281,0.4,178,0.2,2116,2.7,89,0.1,145,0.2,2055,2.6,80.4,19.6,47.4,75289,35.4,13.5,83958,100525,80652,94335,33251,0,0,0,1.5,3.8,53.9,53.9,47.2,6.7,12.4,0,46.1,1231,8.8,9.6,30.9,26.2,11.9,10.6,2,81.6,41327,-,40265,43889,37083,-,335900
NAPA,20110330,N,VINEYARD PATHOLOGY ASSOCIATES,05D2022306,Y,M2,20111115,94558,34900,-122.2966229,38.3251588,QUEEN OF THE VALLEY MEDICAL CENTER,100,1,NAPA CITY,79349,38.5,28790,65.2,34.8,2.74,3.44,N,N,3615,5.9,2.7,31070,38.9,43848,55,281,0.4,178,0.2,2116,2.7,89,0.1,145,0.2,2055,2.6,80.4,19.6,47.4,75289,35.4,13.5,36167,63770,75324,89119,28749,9.6,2.2,39.3,11,15.1,42.4,42.4,41.1,1.3,3,0,57.6,1742,4.7,11,29.7,34.4,5.3,10.6,4.2,84.3,41250,-,30977,50609,-,-,326600
ORANGE,19930119,N,SAINT JOSEPH HOSPITAL-LABORATORY,05D0579177,Y,LAB,20190227,92868,11244,-117.8652002,33.7819985,ST. JOSEPH HOSPITAL OF ORANGE,100,1,ORANGE COUNTY,3175155,37.9,1037312,71.9,28.1,3.03,3.52,85231,17.7,109404,4.4,5.4,1091887,34.2,1287395,40.4,52246,1.6,5735,0.2,649015,20.3,7426,0.2,4439,0.1,92257,2.9,69.9,30.1,55.1,3003239,46,19.5,177083,241294,194348,258097,88341,2.7,1.9,16.3,4,5.7,61.5,61.5,59.3,2.2,3.5,0,38.5,7044,0,0.8,7.9,11.2,8.9,42.2,29.1,99.2,91250,-,60845,62442,90596,134313,249900
ORANGE,19930305,N,UCI MEDICAL CENTER,05D0579200,Y,M1,20190227,92868,11244,-117.8901339,33.7879885,UNIVERSITY OF CALIFORNIA IRVINE HEALTH,100,1,ORANGE COUNTY,3175155,37.9,1037312,71.9,28.1,3.03,3.52,85231,17.7,109404,4.4,5.4,1091887,34.2,1287395,40.4,52246,1.6,5735,0.2,649015,20.3,7426,0.2,4439,0.1,92257,2.9,69.9,30.1,55.1,3003239,46,19.5,96945,111462,112362,123470,36463,4.6,2,15.3,7.7,10.4,63,62.8,58.7,4,6.4,0.2,37,37957,4.2,4.5,20.8,29.3,11.7,21.7,7.8,91.3,52385,21332,36216,48998,81073,90152,465000
ORANGE,19931018,N,UNIVERSITY SURGEONS OF IRVINE,05D0878129,Y,LAB,19951017,92668,11244,-117.8901339,33.7879885,UNIVERSITY OF CALIFORNIA IRVINE HEALTH,100,1,ORANGE COUNTY,3175155,37.9,1037312,71.9,28.1,3.03,3.52,85231,17.7,109404,4.4,5.4,1091887,34.2,1287395,40.4,52246,1.6,5735,0.2,649015,20.3,7426,0.2,4439,0.1,92257,2.9,69.9,30.1,55.1,3003239,46,19.5,72542,113519,78000,131834,34805,11.7,6.7,55.9,11.8,22.4,66,66,60.5,5.5,8.3,0,34,997,15.4,8.3,23.6,27.1,11.1,11.6,2.8,76.2,31408,30323,32000,41786,-,103750,610900
ORANGE,20131223,N,ST JOSEPH HERTIAGE MEDICAL GROUP WELLNESS CENTER,05D2070756,Y,M1,20200829,92868,11244,-117.8652002,33.7819985,ST. JOSEPH HOSPITAL OF ORANGE,100,1,ORANGE COUNTY,3175155,37.9,1037312,71.9,28.1,3.03,3.52,85231,17.7,109404,4.4,5.4,1091887,34.2,1287395,40.4,52246,1.6,5735,0.2,649015,20.3,7426,0.2,4439,0.1,92257,2.9,69.9,30.1,55.1,3003239,46,19.5,206200,222346,207300,227742,59856,1.8,2,0,3.3,4.6,64.3,64.3,61.5,2.8,4.4,0,35.7,2116,4,3.9,8.3,7.4,4.7,33.1,38.5,92.1,123908,64167,80547,-,123142,142153,373600
IRVINE,19930212,N,IRVINE REGIONAL HOSPITAL & MEDICAL,05D0581971,Y,LAB,20090115,92618,11244,-117.7722362,33.6608946,HOAG HOSPITAL IRVINE,100,1,IRVINE CITY,277245,34.1,97161,67.9,32.1,2.78,3.24,N,N,4958,2.3,0,29443,10.6,114664,41.3,5048,1.8,456,0.2,114317,41.2,838,0.3,152,0.1,12518,4.5,60,40,51.8,261958,51.3,17,128929,178360,170446,185471,68107,0,0,0,0.7,0,64.8,64.8,56.1,8.7,13.5,0,35.2,901,0,0,7,24.5,1.4,43.1,24,100,71150,-,-,63558,102014,132647,238600
IRVINE,19931028,N,IRVINE MEDICAL CENTER BLOOD GAS LAB,05D0878572,Y,LAB,19951027,92618,11244,-117.7722362,33.6608946,HOAG HOSPITAL IRVINE,100,1,IRVINE CITY,277245,34.1,97161,67.9,32.1,2.78,3.24,N,N,4958,2.3,0,29443,10.6,114664,41.3,5048,1.8,456,0.2,114317,41.2,838,0.3,152,0.1,12518,4.5,60,40,51.8,261958,51.3,17,146225,163117,164191,177508,58652,1.3,0.3,7.2,2.3,2.2,64.1,64.1,61.6,2.6,4,0,35.9,7978,0.1,1.9,11.8,22.9,9.4,35.6,18.3,98,83177,-,62788,72083,98807,88994,369700
IRVINE,20070719,N,SOUTHERN CALIFORNIA PERMANENTE MED GRP,05D1071199,Y,M1,20200509,92618,11244,-117.7743829,33.6578508,"KAISER FOUNDATION HOSPITAL, ORANGE COUNTY-IRVINE",100,1,IRVINE CITY,277245,34.1,97161,67.9,32.1,2.78,3.24,N,N,4958,2.3,0,29443,10.6,114664,41.3,5048,1.8,456,0.2,114317,41.2,838,0.3,152,0.1,12518,4.5,60,40,51.8,261958,51.3,17,69773,70494,93571,82428,29788,9.9,8.1,22.9,15.4,38.3,78.5,78.5,76.1,2.4,3,0,21.5,736,0,1.4,18.6,48.2,18.9,11,1.9,98.6,22191,-,-,21575,-,-,488000
IRVINE,20110302,Y,HOAG HOSPITAL IRVINE,05D2009903,N,M1,20190806,92618,11244,-117.7722362,33.6608946,HOAG HOSPITAL IRVINE,100,1,IRVINE CITY,277245,34.1,97161,67.9,32.1,2.78,3.24,N,N,4958,2.3,0,29443,10.6,114664,41.3,5048,1.8,456,0.2,114317,41.2,838,0.3,152,0.1,12518,4.5,60,40,51.8,261958,51.3,17,76500,93929,89091,106117,34634,7.9,3.7,23,11.2,12.8,66.7,66.5,61.8,4.7,7.1,0.2,33.3,90728,6.6,6.1,20,24.3,8.8,24.2,10,87.4,43684,23398,30815,41959,60134,78587,383800
MISSION VIEJO,19921215,N,MISSION HOSPITAL LABORATORY,05D0061551,Y,LAB,20190208,92691,11244,-117.6654654,33.5610516,MISSION HOSPITAL REGIONAL MEDICAL CENTER,80,0.8,MISSION VIEJO CITY,95578,44.7,33936,76.1,23.9,2.78,3.15,N,N,6140,8,0,14544,15.1,65086,67.8,1098,1.1,611,0.6,11129,11.6,0,0,132,0.1,3409,3.6,80.5,19.5,70.2,91129,22.9,8,98281,112520,136625,154979,63710,1.2,0,13.1,8.8,2.8,74.9,74.5,71.4,3,4.1,0.4,25.1,5275,1.6,4.2,6.9,12.5,4.4,46.4,24,94.3,74331,-,-,47726,79135,99050,307900
MISSION VIEJO,19931105,N,CHILDRENS HOSPITAL AT MISSION,05D0878819,Y,M1,20191104,92691,11244,-117.6654654,33.5610516,MISSION HOSPITAL REGIONAL MEDICAL CENTER,80,0.8,MISSION VIEJO CITY,95578,44.7,33936,76.1,23.9,2.78,3.15,N,N,6140,8,0,14544,15.1,65086,67.8,1098,1.1,611,0.6,11129,11.6,0,0,132,0.1,3409,3.6,80.5,19.5,70.2,91129,22.9,8,79886,89211,93722,104153,41995,6.4,0,27.4,9.2,9,67,66,60.7,5.3,8,1.1,33,2435,1.5,4.1,22.5,29.2,10.1,21.3,11.1,94.4,52262,77760,40167,55046,53864,76250,245900
MISSION VIEJO,19971126,Y,NEWPORT HARBOR PATHOLOGY MEDICAL GROUP,05D0903813,N,M1,20191116,92691,11244,-117.6654654,33.5610516,MISSION HOSPITAL REGIONAL MEDICAL CENTER,80,0.8,MISSION VIEJO CITY,95578,44.7,33936,76.1,23.9,2.78,3.15,N,N,6140,8,0,14544,15.1,65086,67.8,1098,1.1,611,0.6,11129,11.6,0,0,132,0.1,3409,3.6,80.5,19.5,70.2,91129,22.9,8,152798,200765,176339,224676,72818,1.8,1.5,3.2,3.3,1.6,62.7,62.6,60.3,2.3,3.7,0,37.3,29766,0.9,1.1,8.6,16,7,42,24.3,97.9,96391,-,57832,55125,98043,136016,495700
MISSION VIEJO,19990223,N,MISSION HOSPITAL COMMUNITY HEALTH,05D0957549,Y,LAB,20150222,92691,11244,-117.6654654,33.5610516,MISSION HOSPITAL REGIONAL MEDICAL CENTER,80,0.8,MISSION VIEJO CITY,95578,44.7,33936,76.1,23.9,2.78,3.15,N,N,6140,8,0,14544,15.1,65086,67.8,1098,1.1,611,0.6,11129,11.6,0,0,132,0.1,3409,3.6,80.5,19.5,70.2,91129,22.9,8,137623,165457,139412,193130,80847,0,0,-,0,0,22.8,22.8,22.8,0,0,0,77.2,566,0,0,12,20,0,30.6,37.5,100,-,-,-,-,-,-,221500
ORANGE,19930119,N,SAINT JOSEPH HOSPITAL-LABORATORY,05D0579177,Y,LAB,20190227,92868,11244,-117.8652002,33.7819985,ST. JOSEPH HOSPITAL OF ORANGE,100,1,ORANGE CITY,136749,35.2,42663,72.1,27.9,3.13,3.43,N,N,4502,4,0,56866,40.5,63066,44.9,1434,1,252,0.2,15686,11.2,155,0.1,185,0.1,2913,2.1,76.4,23.6,45.9,133673,42.2,14.4,116220,133035,122026,140040,46519,4.7,2.5,24.7,7.3,11.5,65.5,65.5,61.1,4.4,6.7,0,34.5,10697,0.6,2.5,22.2,33.4,12,20.8,8.6,96.9,64175,-,50771,62078,77841,90114,563800
ORANGE,19930305,N,UCI MEDICAL CENTER,05D0579200,Y,M1,20190227,92868,11244,-117.8901339,33.7879885,UNIVERSITY OF CALIFORNIA IRVINE HEALTH,100,1,ORANGE CITY,136749,35.2,42663,72.1,27.9,3.13,3.43,N,N,4502,4,0,56866,40.5,63066,44.9,1434,1,252,0.2,15686,11.2,155,0.1,185,0.1,2913,2.1,76.4,23.6,45.9,133673,42.2,14.4,73333,101848,79115,106877,41128,2.3,0.1,11.7,6.4,5.3,64.9,64.9,62.7,2.3,3.5,0,35.1,2887,3.5,2.5,20.8,27.2,3.6,26.6,15.8,94,38829,44083,25688,35870,60675,63333,809700
ORANGE,19931018,N,UNIVERSITY SURGEONS OF IRVINE,05D0878129,Y,LAB,19951017,92668,11244,-117.8901339,33.7879885,UNIVERSITY OF CALIFORNIA IRVINE HEALTH,100,1,ORANGE CITY,136749,35.2,42663,72.1,27.9,3.13,3.43,N,N,4502,4,0,56866,40.5,63066,44.9,1434,1,252,0.2,15686,11.2,155,0.1,185,0.1,2913,2.1,76.4,23.6,45.9,133673,42.2,14.4,96914,125077,112078,143400,50394,5.8,4.2,13.4,8.9,7,64.4,64.3,60.4,3.9,6,0.1,35.6,18865,3.5,2.4,10.7,15.4,6.2,31.8,30.1,94.1,54291,22179,32813,40758,61860,77342,497800
ORANGE,20131223,N,ST JOSEPH HERTIAGE MEDICAL GROUP WELLNESS CENTER,05D2070756,Y,M1,20200829,92868,11244,-117.8652002,33.7819985,ST. JOSEPH HOSPITAL OF ORANGE,100,1,ORANGE CITY,136749,35.2,42663,72.1,27.9,3.13,3.43,N,N,4502,4,0,56866,40.5,63066,44.9,1434,1,252,0.2,15686,11.2,155,0.1,185,0.1,2913,2.1,76.4,23.6,45.9,133673,42.2,14.4,74478,94494,78787,100498,35342,8.3,3.7,24.2,10.2,13.2,69,69,63.7,5.3,7.6,0,31,9694,4.4,4,26.3,24.5,9.7,21.2,9.9,91.6,39876,22237,32251,38311,52614,71368,458100
ROSEVILLE,19980727,Y,KAISER FOUNDATION HOSPITAL ROSEVILLE LABORATORY,05D0901517,N,M2,20190626,95661,40900,-121.2506572,38.7474074,KAISER FOUNDATION HOSPITAL - ROSEVILLE,100,1,ROSEVILLE CITY,134617,39.3,50198,71.5,28.5,2.68,3.17,N,N,7342,7.1,9,20720,15.3,93120,68.8,2880,2.1,855,0.6,13488,10,0,0,87,0.1,4175,3.1,85.9,14.1,62.2,128039,16.8,4,107221,125302,119335,129613,41962,4.3,1.8,10.9,5.5,6.8,68.3,68.1,65.3,2.8,4,0.2,31.7,17917,4,2.7,14.5,25.1,10.7,30.6,12.4,93.3,56236,37188,36810,49730,66993,73659,442800
ROSEVILLE,19980813,N,KAISER FOUNDATION HOSPITAL-ROSEVILLE,05D0949913,Y,M2,20200509,95661,40900,-121.2506572,38.7474074,KAISER FOUNDATION HOSPITAL - ROSEVILLE,100,1,ROSEVILLE CITY,134617,39.3,50198,71.5,28.5,2.68,3.17,N,N,7342,7.1,9,20720,15.3,93120,68.8,2880,2.1,855,0.6,13488,10,0,0,87,0.1,4175,3.1,85.9,14.1,62.2,128039,16.8,4,140000,177451,160595,211284,75224,4.6,5.3,0,6.9,2,63.5,63.5,61.2,2.3,3.7,0,36.5,4295,0.5,0.2,4.8,8.6,2.3,34.9,48.6,99.3,75347,-,37989,32188,71875,94554,514600
ROSEVILLE,20061129,N,TPMG INC ROSEVILLE MEDICAL OFFICE,05D1061871,Y,M2,20181128,95661,40900,-121.2506572,38.7474074,KAISER FOUNDATION HOSPITAL - ROSEVILLE,100,1,ROSEVILLE CITY,134617,39.3,50198,71.5,28.5,2.68,3.17,N,N,7342,7.1,9,20720,15.3,93120,68.8,2880,2.1,855,0.6,13488,10,0,0,87,0.1,4175,3.1,85.9,14.1,62.2,128039,16.8,4,107550,113365,110096,120220,38872,6.3,1.7,39,9.7,29.5,55.5,54.3,50,4.3,7.9,1.2,44.5,1162,2.3,8.4,18.4,26.2,15.2,27.9,1.5,89.2,61483,-,63472,55074,81094,-,600300
