_,ACPTBL_POC_SW,CMPLNC_STUS_CD,CROSS_REF_PROVIDER_NUMBER,CRTFCTN_DT,ELGBLTY_SW,FAC_NAME,ORGNL_PRTCPTN_DT,PRVDR_NUM,SKLTN_REC_SW,STATE_RGN_CD,PGM_TRMNTN_CD,TRMNTN_EXPRTN_DT,CRTFCTN_ACTN_TYPE_CD,GNRL_CNTL_TYPE_CD,ZIP_CD,FIPS_CNTY_CD,CBSA_CD,longitude,latitude,names,grade,addresses,ZIP1,ZIP2,Geography.1,Total_Civilian_Noninstitutionalized_Population,Avg-Median_age_in_years,Total_Households_Estimate,Prop_Family_households,Prop_Nonfamily_households,Average_household_size,Average_family_size,Gps_living_with_gcs_under_18_years,Prop__Gps_caring_for_gc_over_18,Number_of_Veterans,Veterans_as_Prop_of_population,Unemployed_veterans_Prop_of_labour_force,Hispani_or_Latino,Hispanic/Latino_Prop,White,White_Prop,Black_Estimate,Black_Prop,Native_American/Alaskan,Native_American/Alaskan_Prop,Asian,Asian_Prop,Native_Hawaiian/Pacific_Islander,Native_Hawaiian/Pacific_Islander_Prop,"Other_Race_Only,_Not_Hispanic/Latino","Other_Race_Only,_Not_Hispanic/Latino_Prop","Two_or_more_races_alone,_Not_Hispanic_or_Latino_Estimate","Two_or_more_races_alone,_Not_Hispanic_or_Latino_Prop",Prop_Native_Born,Prop_Foreign_born,Prop_of_Foreign_Born_who_are_Naturalized_U.S._citizen,Pop_5_years_+,Pop_5_years_+_foreign_language_at_home,Pop_5_years_+_w/_poor_English,Median_household_income_(dollars),Mean_household_income_(dollars),Median_family_income_(dollars),Mean_family_income_(dollars),Per_capita_income_(dollars),All_families%,Married_couple_families%,female_householder_no_husband%,All_people%,Under_18%,Percent_(Labor_Force_Participation_Rate),Labour_Force_%,Employed_16+%,Employed_%_16+,Unemployment%,Military%,Not_in_labourforce%,"Population_25_years_
and_over%",Percent_Less_than_9th_grade%,"Percent_9th_to_12th_grade,_no_diploma",Percent_High_school_graduate_(includes_equivalency),"Percent_Some_college,_no_degree",Percent_Associate's_degree,Percent_Bachelor's_degree,Percent_Graduate_or_professional_degree,Percent_high_school_graduate_or_higher,Population_25_years_and_over_with_earnings,Less_than_high_school_graduate_earnings_(dollars),High_school_graduate__earnings_(dollars),Some_college_or_associate's_degree_earnings_(dollars),Bachelor's_degree_earnings_(dollars),Graduate_or_professional_degree_earnings_(dollars),Median_Value_(dollars)
RIVERSIDE,N,0,0,19930607,N,"KAISER FOUNDATION HOSPITAL RIVERSIDE LABORATORY",19930607,05D0702579,Y,M1,0,20190102,0,4,92505,65,40140,-117.4691755,33.9047622,"KAISER PERMANENTE RIVERSIDE MEDICAL CENTER",100,"10800 MAGNOLIA AVENUE
                RIVERSIDE, CA 92505-3000",92505-3000,925053000,"RIVERSIDE COUNTY",2400720,35.6,718733,72.4,27.6,3.32,3.95,89658,18.1,122152,6.8,5.3,1188993,49.1,851484,35.1,147495,6.1,11358,0.5,155732,6.4,4664,0.2,8014,0.3,55526,2.3,78.8,21.2,49.8,2264417,40.7,15.4,139018,194672,172719,228418,65320,1.8,1.1,7.6,3.9,1.2,55.8,55.8,52.8,3.1,5.5,0,44.2,10605,0.1,0.7,6.7,12.7,5.6,38.1,36,99.3,85609,-,26778,41118,95208,117460,1104100
RIVERSIDE,N,0,0,19930629,N,"PARKVIEW COMMUNITY HOSPITAL",19930629,05D0723874,Y,LAB,12,19990101,0,3,92503,65,40140,-117.4398166,33.9269682,"PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER",40,"3865 JACKSON STREET
                RIVERSIDE, CA 92503-3998",92503-3998,925033998,"RIVERSIDE COUNTY",2400720,35.6,718733,72.4,27.6,3.32,3.95,89658,18.1,122152,6.8,5.3,1188993,49.1,851484,35.1,147495,6.1,11358,0.5,155732,6.4,4664,0.2,8014,0.3,55526,2.3,78.8,21.2,49.8,2264417,40.7,15.4,68828,94257,81324,103413,36459,15.8,12.3,45.6,19,34.7,80.8,79.5,70.3,9.2,11.6,1.3,19.2,1704,9.3,3.8,27.2,28.5,12.4,15.1,3.6,86.9,46038,-,60859,38487,63929,93636,349200
RIVERSIDE,N,0,0,19930518,N,"KAISER FOUNDATION HOSPITAL BLOOD GAS LAB",19930518,05D0868928,Y,M1,0,20190624,0,4,92505,65,40140,-117.4691755,33.9047622,"KAISER PERMANENTE RIVERSIDE MEDICAL CENTER",100,"10800 MAGNOLIA AVENUE
                RIVERSIDE, CA 92505-3000",92505-3000,925053000,"RIVERSIDE COUNTY",2400720,35.6,718733,72.4,27.6,3.32,3.95,89658,18.1,122152,6.8,5.3,1188993,49.1,851484,35.1,147495,6.1,11358,0.5,155732,6.4,4664,0.2,8014,0.3,55526,2.3,78.8,21.2,49.8,2264417,40.7,15.4,"$ 250,000+",288505,"$ 250,000+",279335,80737,0,0,0,0,0,63,63,56.8,6.2,9.8,0,37,588,5.3,0,8.3,8.3,6.1,34.4,37.6,94.7,148295,-,-,-,93125,184125,326800
RIVERSIDE,N,0,0,19930609,N,"KAISER PERMANENTE",19930609,05D0871889,Y,LAB,8,19970608,0,2,92505,65,40140,-117.4691755,33.9047622,"KAISER PERMANENTE RIVERSIDE MEDICAL CENTER",100,"10800 MAGNOLIA AVENUE
                RIVERSIDE, CA 92505-3000",92505-3000,925053000,"RIVERSIDE COUNTY",2400720,35.6,718733,72.4,27.6,3.32,3.95,89658,18.1,122152,6.8,5.3,1188993,49.1,851484,35.1,147495,6.1,11358,0.5,155732,6.4,4664,0.2,8014,0.3,55526,2.3,78.8,21.2,49.8,2264417,40.7,15.4,-,274250,220577,288984,109278,8.3,0,50,6.3,24.7,63,63,53.6,9.4,14.9,0,37,484,0,4.3,20.2,12,0,36.6,26.9,95.7,101971,-,-,-,120337,123026,374800
RIVERSIDE,N,0,0,19990928,N,"PARKVIEW COMMUNITY HOSPITAL MEDICAL",19990928,05D0965732,Y,LAB,0,20190927,0,2,92503,65,40140,-117.4398166,33.9269682,"PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER",40,"3865 JACKSON STREET
                RIVERSIDE, CA 92503-3998",92503-3998,925033998,"RIVERSIDE COUNTY",2400720,35.6,718733,72.4,27.6,3.32,3.95,89658,18.1,122152,6.8,5.3,1188993,49.1,851484,35.1,147495,6.1,11358,0.5,155732,6.4,4664,0.2,8014,0.3,55526,2.3,78.8,21.2,49.8,2264417,40.7,15.4,50568,62744,50985,65897,17951,29.5,17.1,57.1,29.6,53.1,65.5,65.5,61.3,4.2,6.4,0,34.5,2274,28.5,12,23.7,17.4,6.1,9.7,2.6,59.5,28611,24975,30306,27423,28667,63810,282000
RIVERSIDE,N,0,0,20021205,N,"PATRICK J MERRILL",20021205,05D1007013,Y,LAB,1,20021206,0,2,92505,65,40140,-117.4691755,33.9047622,"KAISER PERMANENTE RIVERSIDE MEDICAL CENTER",100,"10800 MAGNOLIA AVENUE
                RIVERSIDE, CA 92505-3000",92505-3000,925053000,"RIVERSIDE COUNTY",2400720,35.6,718733,72.4,27.6,3.32,3.95,89658,18.1,122152,6.8,5.3,1188993,49.1,851484,35.1,147495,6.1,11358,0.5,155732,6.4,4664,0.2,8014,0.3,55526,2.3,78.8,21.2,49.8,2264417,40.7,15.4,89392,99481,98913,108316,29984,5,2.7,12.7,7.5,5.4,66.9,66.8,62.3,4.5,6.8,0.1,33.1,24506,6.5,6.2,28.3,29.6,10.3,13.6,5.3,87.2,50305,25378,41341,52666,63673,73125,456100
RIVERSIDE,N,0,0,20140312,N,"KAISER FOUNDATION HOSPITAL RIVERSIDE",20140312,05D2074637,Y,M1,0,20200615,0,2,92505,65,40140,-117.4691755,33.9047622,"KAISER PERMANENTE RIVERSIDE MEDICAL CENTER",100,"10800 MAGNOLIA AVENUE
                RIVERSIDE, CA 92505-3000",92505-3000,925053000,"RIVERSIDE COUNTY",2400720,35.6,718733,72.4,27.6,3.32,3.95,89658,18.1,122152,6.8,5.3,1188993,49.1,851484,35.1,147495,6.1,11358,0.5,155732,6.4,4664,0.2,8014,0.3,55526,2.3,78.8,21.2,49.8,2264417,40.7,15.4,186075,272918,233684,313452,99090,1.8,1,9.2,2.6,2.5,59.9,59.9,57.4,2.5,4.2,0,40.1,13646,0.6,1.1,3.8,9.8,3.8,41.3,39.6,98.3,97215,-,49018,35726,97051,128574,574400
RIVERSIDE,N,0,0,20140429,N,"SCPMG RIVERSIDE MEDICAL OFICE",20140429,05D2076898,Y,M1,0,20200428,0,4,92505,65,40140,-117.4691755,33.9047622,"KAISER PERMANENTE RIVERSIDE MEDICAL CENTER",100,"10800 MAGNOLIA AVENUE
                RIVERSIDE, CA 92505-3000",92505-3000,925053000,"RIVERSIDE COUNTY",2400720,35.6,718733,72.4,27.6,3.32,3.95,89658,18.1,122152,6.8,5.3,1188993,49.1,851484,35.1,147495,6.1,11358,0.5,155732,6.4,4664,0.2,8014,0.3,55526,2.3,78.8,21.2,49.8,2264417,40.7,15.4,54797,85238,67708,84201,33418,5,0,23.7,6.3,7.6,71.1,71.1,64,7,9.9,0,28.9,3122,6.1,9.5,24,34.9,4.1,15.5,5.8,84.4,31400,30000,28485,34813,34013,60185,1087100
INDIO,Y,A,0,20071016,Y,"JOHN F KENNEDY MEMORIAL HOSPITAL CLINICAL LAB",19930702,05D0643133,N,M1,0,20190227,5,4,92201,65,40140,-116.2354774,33.7062168,"JFK MEMORIAL HOSPITAL",60,"47111 MONROE STREET
                INDIO, CA 92201-6799",92201-6799,922016799,"INDIO CITY",89348,43.5,35675,58.8,41.2,2.5,3.39,N,N,3827,5.1,6.7,59234,66,26143,29.1,1776,2,48,0.1,1750,1.9,0,0,0,0,833,0.9,77.1,22.9,51.2,85514,57.7,35.3,84255,99961,95885,108272,36481,3.1,2.3,3.7,5.4,6.5,63.4,63.4,59.8,3.7,5.8,0,36.6,14713,4.5,6.2,17.5,31.2,9.7,21.2,9.7,89.2,49959,24618,41500,47334,61414,63750,786200
"MORENO VALLEY",N,0,0,19921230,N,"KAISER FOUNDATION HOSPITAL - MORENO VALLEY",19921230,05D0573874,Y,M1,0,20191130,0,3,92555,65,40140,-117.186026,33.897404,"KAISER PERMANENTE MORENO VALLEY MEDICAL CENTER",100,"27300 IRIS AVENUE
                MORENO VALLEY, CA 92555-4800",92555-4800,925554800,"MORENO VALLEY CITY",206570,30.5,48908,83.8,16.2,4.22,4.56,N,N,6710,4.5,1.8,128912,62.2,27586,13.3,32932,15.9,998,0.5,12510,6,1180,0.6,224,0.1,2869,1.4,75.5,24.5,50,192423,51.3,19.1,66739,83830,72423,88466,26781,10.3,6.3,17.6,13.6,19.1,66.1,65.9,59.1,6.9,10.4,0.1,33.9,45114,10.3,9.5,26,26.7,8.1,14.4,5.1,80.3,38739,25079,31307,41259,60273,62317,1196500
"MORENO VALLEY",N,A,0,20100922,Y,"RIVERSIDE UNIVERSITY HEALTH SYSTEM MEDICAL CENTER",19930119,05D0575495,N,M1,0,20190102,5,6,92555,65,40140,-117.1960044,33.9121777,"RIVERSIDE UNIVERSITY HEALTH SYSTEM - MEDICAL CENTER",60,"26520 CACTUS AVENUE
                MORENO VALLEY, CA 92555-3911",92555-3911,925553911,"MORENO VALLEY CITY",206570,30.5,48908,83.8,16.2,4.22,4.56,N,N,6710,4.5,1.8,128912,62.2,27586,13.3,32932,15.9,998,0.5,12510,6,1180,0.6,224,0.1,2869,1.4,75.5,24.5,50,192423,51.3,19.1,101530,124002,119550,150109,50156,4,3.4,7.5,8,4.7,66.8,66.6,63.1,3.4,5.1,0.2,33.2,24929,1.1,1.6,11.1,23.6,9.1,36.3,17.3,97.3,61680,25588,31502,50686,72529,82851,1093900
"MORENO VALLEY",N,0,05D0573874,19930129,N,"MORENO VALLEY COMMUNITY HOSPITAL",19930129,05D0690160,Y,LAB,1,19960715,0,9,92555,65,40140,-117.186026,33.897404,"KAISER PERMANENTE MORENO VALLEY MEDICAL CENTER",100,"27300 IRIS AVENUE
                MORENO VALLEY, CA 92555-4800",92555-4800,925554800,"MORENO VALLEY CITY",206570,30.5,48908,83.8,16.2,4.22,4.56,N,N,6710,4.5,1.8,128912,62.2,27586,13.3,32932,15.9,998,0.5,12510,6,1180,0.6,224,0.1,2869,1.4,75.5,24.5,50,192423,51.3,19.1,142635,133212,-,N,84402,0,0,0,0,0,87.4,87.4,87.4,0,0,0,12.6,167,12,0,0,12.6,25.7,37.7,12,88,110595,-,-,-,-,-,873000
"MORENO VALLEY",N,0,0,19930219,N,"RIVERSIDE UNIVERSITY HEALTH SYSTEM-",19930219,05D0862225,Y,M1,0,20190102,0,6,92555,65,40140,-117.1960044,33.9121777,"RIVERSIDE UNIVERSITY HEALTH SYSTEM - MEDICAL CENTER",60,"26520 CACTUS AVENUE
                MORENO VALLEY, CA 92555-3911",92555-3911,925553911,"MORENO VALLEY CITY",206570,30.5,48908,83.8,16.2,4.22,4.56,N,N,6710,4.5,1.8,128912,62.2,27586,13.3,32932,15.9,998,0.5,12510,6,1180,0.6,224,0.1,2869,1.4,75.5,24.5,50,192423,51.3,19.1,161367,218543,175982,249947,87734,0,0,0,2.1,0,63.5,63.5,60.6,2.8,4.5,0,36.5,2958,2.5,0.7,7.3,19.2,4.9,42.5,22.9,96.8,89792,-,-,49537,113257,132031,567600
"MORENO VALLEY",N,0,0,19950310,N,"RIVERSIDE UNIVERSITY HEALTH SYSTEM",19950310,05D0898775,Y,M1,0,20200711,0,6,92555,65,40140,-117.1960044,33.9121777,"RIVERSIDE UNIVERSITY HEALTH SYSTEM - MEDICAL CENTER",60,"26520 CACTUS AVENUE
                MORENO VALLEY, CA 92555-3911",92555-3911,925553911,"MORENO VALLEY CITY",206570,30.5,48908,83.8,16.2,4.22,4.56,N,N,6710,4.5,1.8,128912,62.2,27586,13.3,32932,15.9,998,0.5,12510,6,1180,0.6,224,0.1,2869,1.4,75.5,24.5,50,192423,51.3,19.1,61045,78739,64527,84934,27812,12.6,6.8,24.2,15.7,21.7,65.8,65.7,60,5.7,8.7,0.1,34.2,73592,13.9,9.2,21.6,20.2,7.8,17.9,9.3,76.9,35208,23990,29315,34964,55394,73319,1037400
"MORENO VALLEY",N,0,0,19991202,N,"RIVERSIDE PHYSICIANS' SERVICES, INC",19991202,05D0968077,Y,LAB,5,20160226,0,2,92555,65,40140,-117.1960044,33.9121777,"RIVERSIDE UNIVERSITY HEALTH SYSTEM - MEDICAL CENTER",60,"26520 CACTUS AVENUE
                MORENO VALLEY, CA 92555-3911",92555-3911,925553911,"MORENO VALLEY CITY",206570,30.5,48908,83.8,16.2,4.22,4.56,N,N,6710,4.5,1.8,128912,62.2,27586,13.3,32932,15.9,998,0.5,12510,6,1180,0.6,224,0.1,2869,1.4,75.5,24.5,50,192423,51.3,19.1,67175,95938,85664,103192,32078,12.8,2.9,37.8,15.2,30.9,63,63,57.6,5.4,8.6,0,37,6771,5.5,8.4,28.1,22.7,11.2,16.4,7.8,86.1,40861,24402,39236,40489,45278,63000,350200
"MORENO VALLEY",N,0,0,20100218,N,"RIVERSIDE UNIVERSITY HEALTH SYSTEM",20100218,05D2003808,Y,M1,0,20200217,0,6,92555,65,40140,-117.1960044,33.9121777,"RIVERSIDE UNIVERSITY HEALTH SYSTEM - MEDICAL CENTER",60,"26520 CACTUS AVENUE
                MORENO VALLEY, CA 92555-3911",92555-3911,925553911,"MORENO VALLEY CITY",206570,30.5,48908,83.8,16.2,4.22,4.56,N,N,6710,4.5,1.8,128912,62.2,27586,13.3,32932,15.9,998,0.5,12510,6,1180,0.6,224,0.1,2869,1.4,75.5,24.5,50,192423,51.3,19.1,55078,70245,55272,66528,18242,21.5,22.9,20.6,21.9,29.2,60,59.4,53.9,5.5,9.3,0.5,40,2135,23.5,12.3,20,25.7,7.8,7.6,3.1,64.2,27591,20766,23403,31250,48750,-,971300
"MORENO VALLEY",N,0,0,20140303,N,"KAISER FOUNDATION HOSPITAL MORENO VALLEY",20140303,05D2074183,Y,M1,0,20200302,0,4,92557,65,40140,-117.186026,33.897404,"KAISER PERMANENTE MORENO VALLEY MEDICAL CENTER",100,"27300 IRIS AVENUE
                MORENO VALLEY, CA 92555-4800",92555-4800,925554800,"MORENO VALLEY CITY",206570,30.5,48908,83.8,16.2,4.22,4.56,N,N,6710,4.5,1.8,128912,62.2,27586,13.3,32932,15.9,998,0.5,12510,6,1180,0.6,224,0.1,2869,1.4,75.5,24.5,50,192423,51.3,19.1,163971,226242,177857,249550,80776,0,0,0,0.6,0,68.9,68.9,65.1,3.8,5.4,0,31.1,2247,0.5,0,7.2,17.5,4.7,43,27,99.5,89271,-,-,52083,124135,114375,854100
MURRIETA,Y,A,05D0867215,19940627,Y,"SOUTHWEST HEALTHCARE SYSTEM CLINICAL LABORATORY",19920901,05D0573891,N,M1,0,20190718,1,4,92562,65,40140,-117.1839316,33.5589878,"RANCHO SPRINGS MEDICAL CENTER",100,"25500 MEDICAL CENTER DRIVE
                MURRIETA, CA 92562-5965",92562-5965,925625965,"MURRIETA CITY",112612,34.9,32407,78.5,21.5,3.48,3.9,4768,28.1,8641,11,7,31866,28.1,58953,52,5007,4.4,310,0.3,10028,8.8,173,0.2,319,0.3,6660,5.9,86.6,13.4,71.6,104337,22,7.3,47459,57789,52143,62737,18478,17.6,12.8,24,20,26.8,64.5,64.5,59.2,5.3,8.2,0,35.5,19613,24.4,11,24.9,20.3,6.6,9,3.8,64.6,26908,21581,28787,29772,41965,47375,1461400
MURRIETA,Y,A,05D0573891,19940629,Y,"SOUTHWEST HEALTHCARE SYSTEM CARDIO",19920901,05D0867215,N,M1,13,20110425,1,2,92562,65,40140,-117.1839316,33.5589878,"RANCHO SPRINGS MEDICAL CENTER",100,"25500 MEDICAL CENTER DRIVE
                MURRIETA, CA 92562-5965",92562-5965,925625965,"MURRIETA CITY",112612,34.9,32407,78.5,21.5,3.48,3.9,4768,28.1,8641,11,7,31866,28.1,58953,52,5007,4.4,310,0.3,10028,8.8,173,0.2,319,0.3,6660,5.9,86.6,13.4,71.6,104337,22,7.3,142718,166814,159721,182601,55772,3.5,2.7,11.2,4.2,4,69,69,66.5,2.5,3.6,0,31,48468,1.5,1.5,7.8,13.8,7,39.8,28.7,97,90037,18528,39654,59589,91659,122507,"2,000,000+"
MURRIETA,N,0,0,19941129,N,"UNIVERSAL HEALTH SERVICES OF RANCHO",19941129,05D0895061,Y,LAB,1,20160225,0,2,92562,65,40140,-117.1839316,33.5589878,"RANCHO SPRINGS MEDICAL CENTER",100,"25500 MEDICAL CENTER DRIVE
                MURRIETA, CA 92562-5965",92562-5965,925625965,"MURRIETA CITY",112612,34.9,32407,78.5,21.5,3.48,3.9,4768,28.1,8641,11,7,31866,28.1,58953,52,5007,4.4,310,0.3,10028,8.8,173,0.2,319,0.3,6660,5.9,86.6,13.4,71.6,104337,22,7.3,123715,153291,150139,187870,60296,0,0,0,1.6,0,70.6,70.6,66.1,4.5,6.4,0,29.4,4385,0,0.4,10,10.5,5,45.1,29,99.6,67154,-,61083,37321,82872,97695,854700
RIVERSIDE,N,0,0,19921221,N,"RIVERSIDE COMMUNITY HOSPITAL CLINICAL LABORATORY",19921221,05D0575378,Y,M1,0,20190227,0,3,92501,65,40140,-117.3816002,33.9767808,"RIVERSIDE COMMUNITY HOSPITAL",60,"4445 MAGNOLIA AVENUE
                RIVERSIDE, CA 92501-4199",92501-4199,925014199,"RIVERSIDE CITY",325167,30.9,86905,74.6,25.4,3.6,4.1,10619,18.9,14108,5.7,8,179418,54.7,92379,28.2,20192,6.2,221,0.1,26714,8.2,272,0.1,2235,0.7,6291,1.9,76.8,23.2,43.8,306903,45,14.8,177768,216879,178438,224150,68861,0,0,0,0,0,65.4,65.4,62.8,2.6,4,0,34.6,926,0,0,15.1,15.7,4.4,36.8,28,100,72895,-,-,69766,-,149769,1001100
RIVERSIDE,N,A,0,20110722,Y,"PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER",19921228,05D0575478,N,LAB,0,20190102,5,6,92503,65,40140,-117.4398166,33.9269682,"PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER",40,"3865 JACKSON STREET
                RIVERSIDE, CA 92503-3998",92503-3998,925033998,"RIVERSIDE CITY",325167,30.9,86905,74.6,25.4,3.6,4.1,10619,18.9,14108,5.7,8,179418,54.7,92379,28.2,20192,6.2,221,0.1,26714,8.2,272,0.1,2235,0.7,6291,1.9,76.8,23.2,43.8,306903,45,14.8,66853,78961,85813,89040,27084,6.9,5.5,0,10,10.5,61.6,61.6,55.6,5.9,9.6,0,38.4,3554,9.6,6,30.5,29.5,9.1,9.4,5.9,84.4,41453,26650,37863,43598,42232,58571,1220900
RIVERSIDE,N,0,0,19921228,N,"PARKVIEW COMM HOSPITAL MED CTR NICU",19921228,05D0575483,Y,LAB,12,19990201,0,2,92503,65,40140,-117.4398166,33.9269682,"PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER",40,"3865 JACKSON STREET
                RIVERSIDE, CA 92503-3998",92503-3998,925033998,"RIVERSIDE CITY",325167,30.9,86905,74.6,25.4,3.6,4.1,10619,18.9,14108,5.7,8,179418,54.7,92379,28.2,20192,6.2,221,0.1,26714,8.2,272,0.1,2235,0.7,6291,1.9,76.8,23.2,43.8,306903,45,14.8,69357,79699,85625,91204,25360,7.8,0,70.9,17.4,8,56.8,56.8,52,4.8,8.4,0,43.2,2712,10.5,13.5,27.8,15.2,9.3,16.4,7.3,76,50190,-,46607,50068,68618,76607,775000
RIVERSIDE,N,0,0,19930607,N,"KAISER FOUNDATION HOSPITAL RIVERSIDE LABORATORY",19930607,05D0702579,Y,M1,0,20190102,0,4,92505,65,40140,-117.4691755,33.9047622,"KAISER PERMANENTE RIVERSIDE MEDICAL CENTER",100,"10800 MAGNOLIA AVENUE
                RIVERSIDE, CA 92505-3000",92505-3000,925053000,"RIVERSIDE CITY",325167,30.9,86905,74.6,25.4,3.6,4.1,10619,18.9,14108,5.7,8,179418,54.7,92379,28.2,20192,6.2,221,0.1,26714,8.2,272,0.1,2235,0.7,6291,1.9,76.8,23.2,43.8,306903,45,14.8,86845,122477,125355,158150,56460,4.2,3.2,9.3,7,9.3,55.8,55.8,52.6,3.2,5.7,0,44.2,53135,1.1,1.5,10.1,17,7.5,37.3,25.6,97.5,64427,21386,30799,40385,73597,93693,860600
RIVERSIDE,N,0,0,19930629,N,"PARKVIEW COMMUNITY HOSPITAL",19930629,05D0723874,Y,LAB,12,19990101,0,3,92503,65,40140,-117.4398166,33.9269682,"PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER",40,"3865 JACKSON STREET
                RIVERSIDE, CA 92503-3998",92503-3998,925033998,"RIVERSIDE CITY",325167,30.9,86905,74.6,25.4,3.6,4.1,10619,18.9,14108,5.7,8,179418,54.7,92379,28.2,20192,6.2,221,0.1,26714,8.2,272,0.1,2235,0.7,6291,1.9,76.8,23.2,43.8,306903,45,14.8,41287,55899,54061,67471,20809,16.8,11.7,29.6,23.2,31.2,43.6,43.5,39.4,4.1,9.5,0.1,56.4,19424,5.3,13.2,32.1,26.3,8.8,8.7,5.7,81.6,29069,10926,21683,35330,43250,71099,248900
RIVERSIDE,N,0,0,19930518,N,"KAISER FOUNDATION HOSPITAL BLOOD GAS LAB",19930518,05D0868928,Y,M1,0,20190624,0,4,92505,65,40140,-117.4691755,33.9047622,"KAISER PERMANENTE RIVERSIDE MEDICAL CENTER",100,"10800 MAGNOLIA AVENUE
                RIVERSIDE, CA 92505-3000",92505-3000,925053000,"RIVERSIDE CITY",325167,30.9,86905,74.6,25.4,3.6,4.1,10619,18.9,14108,5.7,8,179418,54.7,92379,28.2,20192,6.2,221,0.1,26714,8.2,272,0.1,2235,0.7,6291,1.9,76.8,23.2,43.8,306903,45,14.8,33929,47984,39801,64329,21537,25.3,18.8,45,35.4,51.1,48.9,48.9,39.9,8.9,18.3,0,51.1,1544,5.2,14,28.2,22.3,12.1,12.1,6.1,80.8,29448,6768,7022,42099,51818,-,260000
RIVERSIDE,N,0,0,19930609,N,"KAISER PERMANENTE",19930609,05D0871889,Y,LAB,8,19970608,0,2,92505,65,40140,-117.4691755,33.9047622,"KAISER PERMANENTE RIVERSIDE MEDICAL CENTER",100,"10800 MAGNOLIA AVENUE
                RIVERSIDE, CA 92505-3000",92505-3000,925053000,"RIVERSIDE CITY",325167,30.9,86905,74.6,25.4,3.6,4.1,10619,18.9,14108,5.7,8,179418,54.7,92379,28.2,20192,6.2,221,0.1,26714,8.2,272,0.1,2235,0.7,6291,1.9,76.8,23.2,43.8,306903,45,14.8,27029,41062,30871,45381,12158,35.6,20.1,59.8,31,40.1,24.7,24.7,22.5,2.2,9,0,75.3,5305,8,22.9,35.4,18,5.9,5,4.9,69.1,24413,11471,22601,23945,45893,-,411700
RIVERSIDE,N,0,0,19990928,N,"PARKVIEW COMMUNITY HOSPITAL MEDICAL",19990928,05D0965732,Y,LAB,0,20190927,0,2,92503,65,40140,-117.4398166,33.9269682,"PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER",40,"3865 JACKSON STREET
                RIVERSIDE, CA 92503-3998",92503-3998,925033998,"RIVERSIDE CITY",325167,30.9,86905,74.6,25.4,3.6,4.1,10619,18.9,14108,5.7,8,179418,54.7,92379,28.2,20192,6.2,221,0.1,26714,8.2,272,0.1,2235,0.7,6291,1.9,76.8,23.2,43.8,306903,45,14.8,50395,56221,51250,61423,35765,0,0,-,10.5,0,40.3,40.3,35,5.3,13.2,0,59.7,546,0,1.5,41.8,24.5,3.7,17.2,11.4,98.5,52163,-,36735,46944,56520,-,415700
RIVERSIDE,N,0,0,20021205,N,"PATRICK J MERRILL",20021205,05D1007013,Y,LAB,1,20021206,0,2,92505,65,40140,-117.4691755,33.9047622,"KAISER PERMANENTE RIVERSIDE MEDICAL CENTER",100,"10800 MAGNOLIA AVENUE
                RIVERSIDE, CA 92505-3000",92505-3000,925053000,"RIVERSIDE CITY",325167,30.9,86905,74.6,25.4,3.6,4.1,10619,18.9,14108,5.7,8,179418,54.7,92379,28.2,20192,6.2,221,0.1,26714,8.2,272,0.1,2235,0.7,6291,1.9,76.8,23.2,43.8,306903,45,14.8,52273,52946,64531,67884,21078,21.5,21.6,21.3,17.1,19.9,26.6,26.6,26.6,0,0,0,73.4,652,5.4,16.6,26.2,34.8,12.1,3.7,1.2,78.1,17035,-,15087,47727,-,-,426400
RIVERSIDE,N,0,0,20140312,N,"KAISER FOUNDATION HOSPITAL RIVERSIDE",20140312,05D2074637,Y,M1,0,20200615,0,2,92505,65,40140,-117.4691755,33.9047622,"KAISER PERMANENTE RIVERSIDE MEDICAL CENTER",100,"10800 MAGNOLIA AVENUE
                RIVERSIDE, CA 92505-3000",92505-3000,925053000,"RIVERSIDE CITY",325167,30.9,86905,74.6,25.4,3.6,4.1,10619,18.9,14108,5.7,8,179418,54.7,92379,28.2,20192,6.2,221,0.1,26714,8.2,272,0.1,2235,0.7,6291,1.9,76.8,23.2,43.8,306903,45,14.8,97841,90718,98750,98408,37026,8.3,8.9,0,6.6,0,62,62,60.4,1.5,2.5,0,38,308,5.8,2.6,38,40.9,0,10.1,2.6,91.6,39389,-,39278,-,-,-,373100
